표제어,동형어 번호,구분,품사,고유어 여부,원어
가,1,단어,명사,고유어,
가,1,단어,명사,고유어,
#NAME?,1,단어,접사,한자어,哥
가-,1,단어,접사,한자어,假
가,2,단어,명사,한자어,可
가,2,단어,명사,한자어,可
가,2,단어,명사,한자어,可
#NAME?,2,단어,접사,한자어,家
#NAME?,2,단어,접사,한자어,家
#NAME?,2,단어,접사,한자어,家
#NAME?,2,단어,접사,한자어,家
가-,2,단어,품사 없음,고유어,
가,3,단어,조사,고유어,
가,3,단어,조사,고유어,
가,3,단어,조사,고유어,
#NAME?,3,단어,접사,한자어,家
가-,3,단어,품사 없음,고유어,
#NAME?,4,단어,접사,한자어,街
#NAME?,5,단어,접사,한자어,歌
#NAME?,6,단어,접사,한자어,價
가가호호,1,단어,명사,한자어,家家戶戶
가가호호,2,단어,부사,한자어,家家戶戶
가감,0,단어,명사,한자어,加減
가감승제,0,단어,명사,한자어,加減乘除
가감하다,0,단어,동사,혼종어,加減하다
가객,0,단어,명사,한자어,歌客
가건물,0,단어,명사,한자어,假建物
가게,0,단어,명사,고유어,
가겟집,0,단어,명사,고유어,
가격,1,단어,명사,한자어,加擊
가격,2,단어,명사,한자어,價格
가격 인상,0,구,품사 없음,한자어,價格引上
가격 인하,0,구,품사 없음,한자어,價格引下
가격 파괴,0,구,품사 없음,한자어,價格破壞
가격표,0,단어,명사,한자어,價格表
가격표,0,단어,명사,한자어,價格表
가격하다,0,단어,동사,혼종어,加擊하다
가결,0,단어,명사,한자어,可決
가결되다,0,단어,동사,혼종어,可決되다
가결하다,0,단어,동사,혼종어,可決하다
가계,1,단어,명사,한자어,家系
가계,2,단어,명사,한자어,家計
가계,2,단어,명사,한자어,家計
가계,2,단어,명사,한자어,家計
가계부,0,단어,명사,한자어,家計簿
가계비,0,단어,명사,한자어,家計費
가계 소득,0,구,품사 없음,한자어,家計所得
가계약,0,단어,명사,한자어,假契約
가곡,0,단어,명사,한자어,歌曲
가곡,0,단어,명사,한자어,歌曲
가곡집,0,단어,명사,한자어,歌曲集
가공,1,단어,명사,한자어,加工
가공,2,단어,명사,한자어,架空
가공되다,0,단어,동사,혼종어,加工되다
가공법,0,단어,명사,한자어,加工法
가공성,0,단어,명사,한자어,加工性
가공식품,0,단어,명사,한자어,加工食品
가공업,0,단어,명사,한자어,加工業
가공인물,0,단어,명사,한자어,架空人物
가공적,1,단어,명사,한자어,架空的
가공적,2,단어,관형사,한자어,架空的
가공품,0,단어,명사,한자어,加工品
가공하다,1,단어,동사,혼종어,加工하다
가공하다,2,단어,동사,혼종어,架空하다
가공하다,3,단어,형용사,혼종어,可恐하다
가관,0,단어,명사,한자어,可觀
가관,0,단어,명사,한자어,可觀
가교,1,단어,명사,한자어,架橋
가교,1,단어,명사,한자어,架橋
가교,2,단어,명사,한자어,假橋
가구,1,단어,명사,한자어,家口
가구,1,단어,명사,한자어,家口
가구,2,단어,명사,한자어,家具
가구재,0,단어,명사,한자어,家具材
가구점,0,단어,명사,한자어,家具店
가극,0,단어,명사,한자어,歌劇
가극단,0,단어,명사,한자어,歌劇團
가급적,1,단어,명사,한자어,可及的
가급적,2,단어,부사,한자어,可及的
가까스로,0,단어,부사,고유어,
가까스로,0,단어,부사,고유어,
가까우-,0,단어,품사 없음,고유어,
가까워-,0,단어,품사 없음,고유어,
가까워지다,0,단어,동사,고유어,
가까워지다,0,단어,동사,고유어,
가까워지다,0,단어,동사,고유어,
가까워지다,0,단어,동사,고유어,
가까워지다,0,단어,동사,고유어,
가까워지다,0,단어,동사,고유어,
가까이,1,단어,명사,고유어,
가까이,1,단어,명사,고유어,
가까이,2,단어,부사,고유어,
가까이,2,단어,부사,고유어,
가까이,2,단어,부사,고유어,
가까이하다,0,단어,동사,고유어,
가까이하다,0,단어,동사,고유어,
가깝-,0,단어,품사 없음,고유어,
가깝다,0,단어,형용사,고유어,
가깝다,0,단어,형용사,고유어,
가깝다,0,단어,형용사,고유어,
가깝다,0,단어,형용사,고유어,
가깝다,0,단어,형용사,고유어,
가깝다,0,단어,형용사,고유어,
가꾸-,0,단어,품사 없음,고유어,
가꾸다,0,단어,동사,고유어,
가꾸다,0,단어,동사,고유어,
가꾸다,0,단어,동사,고유어,
가꿔-,0,단어,품사 없음,고유어,
가끔,0,단어,부사,고유어,
가끔가다,0,단어,부사,고유어,
가끔가다가,0,단어,부사,고유어,
가나,0,단어,명사,외래어,Ghana
가나다순,0,단어,명사,혼종어,가나다順
가난,0,단어,명사,고유어,
가난,0,부표제어,명사,,
가난,0,부표제어,명사,,
가난뱅이,0,단어,명사,고유어,
가난하다,0,단어,형용사,고유어,
가내 수공업,0,구,품사 없음,한자어,家內手工業
가냘프다,0,단어,형용사,고유어,
가냘프다,0,단어,형용사,고유어,
가녀리다,0,단어,형용사,고유어,
가녀리다,0,단어,형용사,고유어,
가누다,0,단어,동사,고유어,
가누다,0,단어,동사,고유어,
가누다,0,단어,동사,고유어,
가누다,0,단어,동사,고유어,
가느-,0,단어,품사 없음,고유어,
가느다랗다,0,단어,형용사,고유어,
가느스름하다,0,단어,형용사,고유어,
가는귀,0,단어,명사,고유어,
가는귀먹다,0,단어,동사,고유어,
가늘-,0,단어,품사 없음,고유어,
가늘다,0,단어,형용사,고유어,
가늘다,0,단어,형용사,고유어,
가늘다,0,단어,형용사,고유어,
가늘다,0,단어,형용사,고유어,
가늘다,0,단어,형용사,고유어,
가늘다,0,단어,형용사,고유어,
가늘다,0,단어,형용사,고유어,
가늠,0,단어,명사,고유어,
가늠,0,단어,명사,고유어,
가늠,0,부표제어,명사,,
가늠,0,부표제어,명사,,
가늠,0,부표제어,명사,,
